time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;NetworkFrequencyPu
0.000000000;1.032e+00;3.881e-01;-1.395e-01;3.762e-01;-1.353e-01;1.028e+00;1.032e+00;3.493e-01;-1.256e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.766e-01;-1.343e-01;5.000e+01
0.000128000;1.034e+00;3.890e-01;-1.197e-01;3.762e-01;-1.158e-01;1.031e+00;1.034e+00;3.501e-01;-1.077e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.766e-01;-1.147e-01;5.000e+01
0.000160000;1.034e+00;3.892e-01;-1.149e-01;3.763e-01;-1.111e-01;1.032e+00;1.034e+00;3.503e-01;-1.034e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.766e-01;-1.100e-01;5.000e+01
0.000448000;1.039e+00;3.911e-01;-7.396e-02;3.763e-01;-7.116e-02;1.038e+00;1.039e+00;3.520e-01;-6.656e-02;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.766e-01;-6.986e-02;5.000e+01
0.000480000;1.040e+00;3.913e-01;-6.967e-02;3.764e-01;-6.699e-02;1.038e+00;1.040e+00;3.522e-01;-6.270e-02;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.766e-01;-6.568e-02;5.000e+01
0.000640000;1.042e+00;3.923e-01;-4.891e-02;3.764e-01;-4.694e-02;1.041e+00;1.042e+00;3.531e-01;-4.402e-02;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.766e-01;-4.549e-02;5.000e+01
0.000672000;1.043e+00;3.925e-01;-4.491e-02;3.765e-01;-4.307e-02;1.042e+00;1.043e+00;3.532e-01;-4.041e-02;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.766e-01;-4.161e-02;5.000e+01
0.000768000;1.044e+00;3.931e-01;-3.315e-02;3.765e-01;-3.176e-02;1.043e+00;1.044e+00;3.538e-01;-2.984e-02;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.766e-01;-3.023e-02;5.000e+01
0.000800000;1.044e+00;3.933e-01;-2.932e-02;3.765e-01;-2.808e-02;1.044e+00;1.044e+00;3.539e-01;-2.639e-02;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.766e-01;-2.653e-02;5.000e+01
0.000832000;1.045e+00;3.934e-01;-2.554e-02;3.765e-01;-2.444e-02;1.044e+00;1.045e+00;3.541e-01;-2.299e-02;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.766e-01;-2.287e-02;5.000e+01
0.000864000;1.045e+00;3.936e-01;-2.180e-02;3.766e-01;-2.086e-02;1.045e+00;1.045e+00;3.543e-01;-1.962e-02;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;-1.927e-02;5.000e+01
0.000956000;1.047e+00;3.941e-01;-1.133e-02;3.766e-01;-1.083e-02;1.046e+00;1.047e+00;3.547e-01;-1.020e-02;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;-9.177e-03;5.000e+01
0.000986000;1.047e+00;3.943e-01;-7.982e-03;3.766e-01;-7.620e-03;1.047e+00;1.047e+00;3.549e-01;-7.184e-03;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;-5.950e-03;5.000e+01
0.001000000;1.047e+00;3.944e-01;-6.361e-03;3.767e-01;-6.072e-03;1.047e+00;1.047e+00;3.549e-01;-5.725e-03;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;-4.392e-03;5.000e+01
0.001032000;1.047e+00;3.946e-01;-2.843e-03;3.767e-01;-2.711e-03;1.048e+00;1.047e+00;3.551e-01;-2.558e-03;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;-1.011e-03;5.000e+01
0.001106000;1.048e+00;3.950e-01;5.104e-03;3.767e-01;4.868e-03;1.049e+00;1.048e+00;3.555e-01;4.594e-03;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;6.613e-03;5.000e+01
0.001138000;1.049e+00;3.951e-01;8.489e-03;3.768e-01;8.094e-03;1.049e+00;1.049e+00;3.556e-01;7.641e-03;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;9.858e-03;5.000e+01
0.001227000;1.050e+00;3.956e-01;1.774e-02;3.768e-01;1.690e-02;1.050e+00;1.050e+00;3.560e-01;1.597e-02;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;1.871e-02;5.000e+01
0.001291000;1.051e+00;3.959e-01;2.418e-02;3.769e-01;2.302e-02;1.051e+00;1.051e+00;3.563e-01;2.176e-02;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.767e-01;2.486e-02;5.000e+01
0.001355000;1.051e+00;3.963e-01;3.047e-02;3.769e-01;2.899e-02;1.052e+00;1.051e+00;3.566e-01;2.743e-02;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.768e-01;3.087e-02;5.000e+01
0.001547000;1.053e+00;3.972e-01;4.848e-02;3.771e-01;4.603e-02;1.055e+00;1.053e+00;3.575e-01;4.363e-02;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.768e-01;4.800e-02;5.000e+01
0.001611000;1.054e+00;3.975e-01;5.421e-02;3.771e-01;5.143e-02;1.055e+00;1.054e+00;3.577e-01;4.879e-02;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.768e-01;5.343e-02;5.000e+01
0.001675000;1.055e+00;3.978e-01;5.980e-02;3.772e-01;5.670e-02;1.056e+00;1.055e+00;3.580e-01;5.382e-02;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.769e-01;5.873e-02;5.000e+01
0.001739000;1.055e+00;3.981e-01;6.526e-02;3.772e-01;6.184e-02;1.057e+00;1.055e+00;3.583e-01;5.874e-02;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.769e-01;6.390e-02;5.000e+01
0.001931000;1.057e+00;3.989e-01;8.089e-02;3.774e-01;7.652e-02;1.059e+00;1.057e+00;3.590e-01;7.280e-02;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.769e-01;7.866e-02;5.000e+01
0.001995000;1.058e+00;3.992e-01;8.585e-02;3.774e-01;8.118e-02;1.060e+00;1.058e+00;3.593e-01;7.727e-02;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.770e-01;8.335e-02;5.000e+01
0.002187000;1.059e+00;3.999e-01;1.001e-01;3.776e-01;9.447e-02;1.062e+00;1.059e+00;3.599e-01;9.006e-02;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.770e-01;9.671e-02;5.000e+01
0.002251000;1.060e+00;4.002e-01;1.046e-01;3.776e-01;9.868e-02;1.062e+00;1.060e+00;3.602e-01;9.412e-02;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.770e-01;1.009e-01;5.000e+01
0.002315000;1.060e+00;4.004e-01;1.090e-01;3.777e-01;1.028e-01;1.063e+00;1.060e+00;3.604e-01;9.809e-02;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.771e-01;1.051e-01;5.000e+01
0.002443000;1.061e+00;4.009e-01;1.175e-01;3.778e-01;1.107e-01;1.064e+00;1.061e+00;3.608e-01;1.057e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.771e-01;1.130e-01;5.000e+01
0.002558000;1.062e+00;4.013e-01;1.248e-01;3.779e-01;1.175e-01;1.065e+00;1.062e+00;3.612e-01;1.123e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.772e-01;1.199e-01;5.000e+01
0.002674000;1.063e+00;4.017e-01;1.318e-01;3.780e-01;1.240e-01;1.066e+00;1.063e+00;3.616e-01;1.186e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.772e-01;1.264e-01;5.000e+01
0.002789000;1.064e+00;4.021e-01;1.385e-01;3.781e-01;1.302e-01;1.067e+00;1.064e+00;3.619e-01;1.247e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.772e-01;1.327e-01;5.000e+01
0.002904000;1.064e+00;4.025e-01;1.449e-01;3.782e-01;1.362e-01;1.068e+00;1.064e+00;3.622e-01;1.305e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.773e-01;1.387e-01;5.000e+01
0.003019000;1.065e+00;4.028e-01;1.511e-01;3.783e-01;1.419e-01;1.069e+00;1.065e+00;3.626e-01;1.360e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.773e-01;1.444e-01;5.000e+01
0.003058000;1.065e+00;4.030e-01;1.531e-01;3.783e-01;1.438e-01;1.069e+00;1.065e+00;3.627e-01;1.378e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.774e-01;1.463e-01;5.000e+01
0.003090000;1.065e+00;4.031e-01;1.548e-01;3.783e-01;1.453e-01;1.069e+00;1.065e+00;3.628e-01;1.393e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.774e-01;1.478e-01;5.000e+01
0.003122000;1.066e+00;4.032e-01;1.564e-01;3.784e-01;1.468e-01;1.069e+00;1.066e+00;3.628e-01;1.407e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.774e-01;1.493e-01;5.000e+01
0.003250000;1.066e+00;4.035e-01;1.626e-01;3.785e-01;1.525e-01;1.070e+00;1.066e+00;3.632e-01;1.464e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.774e-01;1.551e-01;5.000e+01
0.003314000;1.067e+00;4.037e-01;1.657e-01;3.785e-01;1.553e-01;1.070e+00;1.067e+00;3.633e-01;1.491e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.775e-01;1.579e-01;5.000e+01
0.003442000;1.067e+00;4.041e-01;1.715e-01;3.786e-01;1.607e-01;1.071e+00;1.067e+00;3.637e-01;1.544e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.775e-01;1.633e-01;5.000e+01
0.003506000;1.068e+00;4.042e-01;1.743e-01;3.787e-01;1.633e-01;1.072e+00;1.068e+00;3.638e-01;1.569e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.775e-01;1.659e-01;5.000e+01
0.003570000;1.068e+00;4.044e-01;1.771e-01;3.787e-01;1.658e-01;1.072e+00;1.068e+00;3.640e-01;1.594e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.776e-01;1.684e-01;5.000e+01
0.003634000;1.068e+00;4.046e-01;1.797e-01;3.788e-01;1.683e-01;1.072e+00;1.068e+00;3.641e-01;1.618e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.776e-01;1.709e-01;5.000e+01
0.003698000;1.068e+00;4.047e-01;1.824e-01;3.788e-01;1.707e-01;1.073e+00;1.068e+00;3.643e-01;1.641e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.776e-01;1.733e-01;5.000e+01
0.003762000;1.069e+00;4.049e-01;1.849e-01;3.789e-01;1.730e-01;1.073e+00;1.069e+00;3.644e-01;1.664e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.776e-01;1.757e-01;5.000e+01
0.003954000;1.069e+00;4.054e-01;1.922e-01;3.790e-01;1.797e-01;1.074e+00;1.069e+00;3.648e-01;1.730e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.777e-01;1.824e-01;5.000e+01
0.004018000;1.070e+00;4.055e-01;1.945e-01;3.791e-01;1.818e-01;1.074e+00;1.070e+00;3.650e-01;1.751e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.778e-01;1.845e-01;5.000e+01
0.004082000;1.070e+00;4.056e-01;1.968e-01;3.791e-01;1.839e-01;1.075e+00;1.070e+00;3.651e-01;1.771e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.778e-01;1.866e-01;5.000e+01
0.004146000;1.070e+00;4.058e-01;1.990e-01;3.792e-01;1.859e-01;1.075e+00;1.070e+00;3.652e-01;1.791e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.778e-01;1.886e-01;5.000e+01
0.004274000;1.071e+00;4.061e-01;2.032e-01;3.793e-01;1.898e-01;1.075e+00;1.071e+00;3.655e-01;1.829e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.779e-01;1.926e-01;5.000e+01
0.004389000;1.071e+00;4.063e-01;2.069e-01;3.793e-01;1.931e-01;1.076e+00;1.071e+00;3.657e-01;1.862e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.779e-01;1.959e-01;5.000e+01
0.004505000;1.071e+00;4.065e-01;2.104e-01;3.794e-01;1.963e-01;1.076e+00;1.071e+00;3.659e-01;1.893e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.780e-01;1.991e-01;5.000e+01
0.004620000;1.072e+00;4.068e-01;2.137e-01;3.795e-01;1.994e-01;1.077e+00;1.072e+00;3.661e-01;1.924e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.780e-01;2.022e-01;5.000e+01
0.004850000;1.073e+00;4.072e-01;2.200e-01;3.797e-01;2.051e-01;1.078e+00;1.073e+00;3.665e-01;1.980e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.781e-01;2.079e-01;5.000e+01
0.004965000;1.073e+00;4.074e-01;2.229e-01;3.797e-01;2.078e-01;1.078e+00;1.073e+00;3.667e-01;2.006e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.782e-01;2.106e-01;5.000e+01
0.005081000;1.073e+00;4.076e-01;2.257e-01;3.798e-01;2.103e-01;1.078e+00;1.073e+00;3.668e-01;2.031e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.782e-01;2.132e-01;5.000e+01
0.005196000;1.073e+00;4.078e-01;2.284e-01;3.799e-01;2.128e-01;1.079e+00;1.073e+00;3.670e-01;2.056e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.783e-01;2.156e-01;5.000e+01
0.005311000;1.074e+00;4.080e-01;2.310e-01;3.800e-01;2.151e-01;1.079e+00;1.074e+00;3.672e-01;2.079e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.783e-01;2.180e-01;5.000e+01
0.005426000;1.074e+00;4.082e-01;2.334e-01;3.800e-01;2.173e-01;1.079e+00;1.074e+00;3.673e-01;2.101e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.784e-01;2.202e-01;5.000e+01
0.005541000;1.074e+00;4.083e-01;2.358e-01;3.801e-01;2.195e-01;1.080e+00;1.074e+00;3.675e-01;2.122e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.784e-01;2.224e-01;5.000e+01
0.005657000;1.075e+00;4.085e-01;2.380e-01;3.802e-01;2.215e-01;1.080e+00;1.075e+00;3.677e-01;2.142e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.785e-01;2.244e-01;5.000e+01
0.005772000;1.075e+00;4.087e-01;2.402e-01;3.802e-01;2.235e-01;1.080e+00;1.075e+00;3.678e-01;2.161e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.785e-01;2.264e-01;5.000e+01
0.005887000;1.075e+00;4.088e-01;2.422e-01;3.803e-01;2.253e-01;1.081e+00;1.075e+00;3.679e-01;2.180e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.786e-01;2.282e-01;5.000e+01
0.006002000;1.075e+00;4.090e-01;2.442e-01;3.804e-01;2.271e-01;1.081e+00;1.075e+00;3.681e-01;2.198e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.786e-01;2.300e-01;5.000e+01
0.006117000;1.075e+00;4.091e-01;2.461e-01;3.804e-01;2.288e-01;1.081e+00;1.075e+00;3.682e-01;2.215e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.787e-01;2.317e-01;5.000e+01
0.006233000;1.076e+00;4.093e-01;2.479e-01;3.805e-01;2.304e-01;1.081e+00;1.076e+00;3.684e-01;2.231e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.787e-01;2.334e-01;5.000e+01
0.006348000;1.076e+00;4.094e-01;2.496e-01;3.806e-01;2.320e-01;1.082e+00;1.076e+00;3.685e-01;2.246e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.788e-01;2.349e-01;5.000e+01
0.006463000;1.076e+00;4.096e-01;2.512e-01;3.806e-01;2.335e-01;1.082e+00;1.076e+00;3.686e-01;2.261e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.788e-01;2.364e-01;5.000e+01
0.006693000;1.076e+00;4.098e-01;2.543e-01;3.808e-01;2.363e-01;1.082e+00;1.076e+00;3.688e-01;2.289e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.789e-01;2.392e-01;5.000e+01
0.006809000;1.076e+00;4.100e-01;2.557e-01;3.808e-01;2.376e-01;1.082e+00;1.076e+00;3.690e-01;2.302e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.790e-01;2.406e-01;5.000e+01
0.006924000;1.077e+00;4.101e-01;2.571e-01;3.809e-01;2.388e-01;1.083e+00;1.077e+00;3.691e-01;2.314e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.790e-01;2.418e-01;5.000e+01
0.007039000;1.077e+00;4.102e-01;2.584e-01;3.810e-01;2.400e-01;1.083e+00;1.077e+00;3.692e-01;2.326e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.790e-01;2.430e-01;5.000e+01
0.007269000;1.077e+00;4.104e-01;2.609e-01;3.811e-01;2.422e-01;1.083e+00;1.077e+00;3.694e-01;2.348e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.791e-01;2.452e-01;5.000e+01
0.007385000;1.077e+00;4.105e-01;2.621e-01;3.811e-01;2.433e-01;1.083e+00;1.077e+00;3.695e-01;2.358e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.792e-01;2.463e-01;5.000e+01
0.007615000;1.077e+00;4.107e-01;2.642e-01;3.812e-01;2.452e-01;1.084e+00;1.077e+00;3.697e-01;2.378e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.793e-01;2.482e-01;5.000e+01
0.007822000;1.078e+00;4.109e-01;2.660e-01;3.813e-01;2.468e-01;1.084e+00;1.078e+00;3.698e-01;2.394e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.794e-01;2.499e-01;5.000e+01
0.008030000;1.078e+00;4.111e-01;2.676e-01;3.814e-01;2.483e-01;1.084e+00;1.078e+00;3.700e-01;2.409e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.794e-01;2.514e-01;5.000e+01
0.008237000;1.078e+00;4.113e-01;2.692e-01;3.815e-01;2.497e-01;1.084e+00;1.078e+00;3.701e-01;2.422e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.795e-01;2.527e-01;5.000e+01
0.008444000;1.078e+00;4.114e-01;2.706e-01;3.816e-01;2.510e-01;1.084e+00;1.078e+00;3.703e-01;2.435e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.796e-01;2.540e-01;5.000e+01
0.008652000;1.078e+00;4.116e-01;2.718e-01;3.817e-01;2.521e-01;1.085e+00;1.078e+00;3.704e-01;2.447e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.797e-01;2.552e-01;5.000e+01
0.008859000;1.078e+00;4.117e-01;2.730e-01;3.818e-01;2.532e-01;1.085e+00;1.078e+00;3.705e-01;2.457e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.797e-01;2.563e-01;5.000e+01
0.009067000;1.078e+00;4.118e-01;2.741e-01;3.819e-01;2.542e-01;1.085e+00;1.078e+00;3.707e-01;2.467e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.798e-01;2.573e-01;5.000e+01
0.009274000;1.079e+00;4.120e-01;2.752e-01;3.820e-01;2.551e-01;1.085e+00;1.079e+00;3.708e-01;2.476e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.799e-01;2.582e-01;5.000e+01
0.009481000;1.079e+00;4.121e-01;2.761e-01;3.820e-01;2.559e-01;1.085e+00;1.079e+00;3.709e-01;2.485e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.800e-01;2.590e-01;5.000e+01
0.009689000;1.079e+00;4.122e-01;2.770e-01;3.821e-01;2.567e-01;1.085e+00;1.079e+00;3.710e-01;2.493e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.800e-01;2.598e-01;5.000e+01
0.009896000;1.079e+00;4.123e-01;2.777e-01;3.822e-01;2.574e-01;1.085e+00;1.079e+00;3.711e-01;2.500e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.801e-01;2.605e-01;5.000e+01
0.010103000;1.079e+00;4.125e-01;2.785e-01;3.823e-01;2.581e-01;1.085e+00;1.079e+00;3.712e-01;2.506e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.802e-01;2.612e-01;5.000e+01
0.010311000;1.079e+00;4.126e-01;2.792e-01;3.823e-01;2.587e-01;1.085e+00;1.079e+00;3.713e-01;2.512e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.802e-01;2.618e-01;5.000e+01
0.010518000;1.079e+00;4.127e-01;2.798e-01;3.824e-01;2.593e-01;1.086e+00;1.079e+00;3.714e-01;2.518e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.803e-01;2.624e-01;5.000e+01
0.010725000;1.079e+00;4.128e-01;2.804e-01;3.825e-01;2.598e-01;1.086e+00;1.079e+00;3.715e-01;2.523e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.804e-01;2.629e-01;5.000e+01
0.010933000;1.079e+00;4.129e-01;2.809e-01;3.826e-01;2.603e-01;1.086e+00;1.079e+00;3.716e-01;2.528e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.804e-01;2.634e-01;5.000e+01
0.011140000;1.079e+00;4.130e-01;2.814e-01;3.826e-01;2.607e-01;1.086e+00;1.079e+00;3.717e-01;2.532e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.805e-01;2.638e-01;5.000e+01
0.011347000;1.079e+00;4.130e-01;2.818e-01;3.827e-01;2.611e-01;1.086e+00;1.079e+00;3.717e-01;2.536e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.806e-01;2.642e-01;5.000e+01
0.011555000;1.079e+00;4.131e-01;2.822e-01;3.828e-01;2.615e-01;1.086e+00;1.079e+00;3.718e-01;2.540e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.806e-01;2.646e-01;5.000e+01
0.011762000;1.079e+00;4.132e-01;2.826e-01;3.828e-01;2.618e-01;1.086e+00;1.079e+00;3.719e-01;2.544e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.807e-01;2.649e-01;5.000e+01
0.011970000;1.079e+00;4.133e-01;2.830e-01;3.829e-01;2.621e-01;1.086e+00;1.079e+00;3.720e-01;2.547e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.807e-01;2.653e-01;5.000e+01
0.012177000;1.079e+00;4.134e-01;2.833e-01;3.829e-01;2.624e-01;1.086e+00;1.079e+00;3.720e-01;2.550e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.808e-01;2.656e-01;5.000e+01
0.012384000;1.080e+00;4.135e-01;2.836e-01;3.830e-01;2.627e-01;1.086e+00;1.080e+00;3.721e-01;2.552e-01;5.000e+01;1.000e+01;4.168e-01;4.520e-01;4.520e-01;3.808e-01;2.658e-01;5.000e+01
